expert_locality,expert_province,expert_region,expert_country,expert_lang,expert_experience,expert_title,expert_education,expert_work_from_home,project_locality,project_province,project_region,project_country,project_lang,company_name,project_experience,project_title,project_education,project_work_from_home,liked
Aalter,East Flanders,Flanders,Belgium,Dutch,14,Project Planner,Master,yes,Evergem,East Flanders,Flanders,Belgium,English,Anacura,5,Project Planner,bachelor,yes,1
Aalter,East Flanders,Flanders,Belgium,English,14,Project Planner,Master,yes,Evergem,East Flanders,Flanders,Belgium,English,Anacura,5,Project Planner,bachelor,yes,1
Aalter,East Flanders,Flanders,Belgium,French,14,Project Planner,Master,yes,Evergem,East Flanders,Flanders,Belgium,English,Anacura,5,Project Planner,bachelor,yes,1
Aalter,East Flanders,Flanders,Belgium,Spanish,14,Project Planner,Master,yes,Evergem,East Flanders,Flanders,Belgium,English,Anacura,5,Project Planner,bachelor,yes,1
Aalter,East Flanders,Flanders,Belgium,German,14,Project Planner,Master,yes,Evergem,East Flanders,Flanders,Belgium,English,Anacura,5,Project Planner,bachelor,yes,1
Antwerp,Antwerp,Flanders,Belgium,Dutch,5,PhD researcher,bachelor,yes,Mechelen,Antwerp,Flanders,Belgium,English,SGS,3,PhD researcher,master ,no,1
Antwerp,Antwerp,Flanders,Belgium,English,5,PhD researcher,bachelor,yes,Mechelen,Antwerp,Flanders,Belgium,English,SGS,3,PhD researcher,master ,no,1
Antwerp,Antwerp,Flanders,Belgium,French,5,PhD researcher,bachelor,yes,Mechelen,Antwerp,Flanders,Belgium,English,SGS,3,PhD researcher,master ,no,1
Antwerp,Antwerp,Flanders,Belgium,Dutch,5,PhD researcher,bachelor,yes,Hasselt,Limburg,Flanders,Belgium,English,Ugentec,3,Research Assistant,Master,yes,1
Antwerp,Antwerp,Flanders,Belgium,English,5,PhD researcher,bachelor,yes,Hasselt,Limburg,Flanders,Belgium,English,Ugentec,3,Research Assistant,Master,yes,1
Antwerp,Antwerp,Flanders,Belgium,French,5,PhD researcher,bachelor,yes,Hasselt,Limburg,Flanders,Belgium,English,Ugentec,3,Research Assistant,Master,yes,1
Temse,East Flanders,Flanders,Belgium,Dutch,2, Clinical Research Associate (CRA),Master,no,Ghent,East Flanders,Flanders,Belgium,English,Agrosavfe,1,Intern,bachelor,no,1
Temse,East Flanders,Flanders,Belgium,French,2, Clinical Research Associate (CRA),Master,no,Ghent,East Flanders,Flanders,Belgium,English,Agrosavfe,1,Intern,bachelor,no,1
Temse,East Flanders,Flanders,Belgium,English,2, Clinical Research Associate (CRA),Master,no,Ghent,East Flanders,Flanders,Belgium,English,Agrosavfe,1,Intern,bachelor,no,1
Mechelen,Antwerp,Flanders,Belgium,Dutch,2, Clinical Research Associate (CRA),Master,no,Ghent,East Flanders,Flanders,Belgium,English,Agrosavfe,1,Intern,bachelor,no,1
Mechelen,Antwerp,Flanders,Belgium,French,2, Clinical Research Associate (CRA),Master,no,Ghent,East Flanders,Flanders,Belgium,English,Agrosavfe,1,Intern,bachelor,no,1
Mechelen,Antwerp,Flanders,Belgium,English,2, Clinical Research Associate (CRA),Master,no,Ghent,East Flanders,Flanders,Belgium,English,Agrosavfe,1,Intern,bachelor,no,1
Temse,East Flanders,Flanders,Belgium,Dutch,2, Clinical Research Associate (CRA),Master,no,Ghent,East Flanders,Flanders,Belgium,English,Agrosavfe,2,R&D Scientist,Master,no,1
Temse,East Flanders,Flanders,Belgium,French,2, Clinical Research Associate (CRA),Master,no,Ghent,East Flanders,Flanders,Belgium,English,Agrosavfe,2,R&D Scientist,Master,no,1
Temse,East Flanders,Flanders,Belgium,English,2, Clinical Research Associate (CRA),Master,no,Ghent,East Flanders,Flanders,Belgium,English,Agrosavfe,2,R&D Scientist,Master,no,1
Mechelen,Antwerp,Flanders,Belgium,Dutch,2, Clinical Research Associate (CRA),Master,no,Ghent,East Flanders,Flanders,Belgium,English,Agrosavfe,2,R&D Scientist,Master,no,1
Mechelen,Antwerp,Flanders,Belgium,French,2, Clinical Research Associate (CRA),Master,no,Ghent,East Flanders,Flanders,Belgium,English,Agrosavfe,2,R&D Scientist,Master,no,1
Mechelen,Antwerp,Flanders,Belgium,English,2, Clinical Research Associate (CRA),Master,no,Ghent,East Flanders,Flanders,Belgium,English,Agrosavfe,2,R&D Scientist,Master,no,1
Temse,East Flanders,Flanders,Belgium,Dutch,2, Clinical Research Associate (CRA),Master,no,Ghent,East Flanders,Flanders,Belgium,English,Agrosavfe,6, Clinical Research Associate (CRA),Master,no,1
Temse,East Flanders,Flanders,Belgium,French,2, Clinical Research Associate (CRA),Master,no,Ghent,East Flanders,Flanders,Belgium,English,Agrosavfe,6, Clinical Research Associate (CRA),Master,no,1
Temse,East Flanders,Flanders,Belgium,English,2, Clinical Research Associate (CRA),Master,no,Ghent,East Flanders,Flanders,Belgium,English,Agrosavfe,6, Clinical Research Associate (CRA),Master,no,1
Mechelen,Antwerp,Flanders,Belgium,Dutch,2, Clinical Research Associate (CRA),Master,no,Ghent,East Flanders,Flanders,Belgium,English,Agrosavfe,6, Clinical Research Associate (CRA),Master,no,1
Mechelen,Antwerp,Flanders,Belgium,French,2, Clinical Research Associate (CRA),Master,no,Ghent,East Flanders,Flanders,Belgium,English,Agrosavfe,6, Clinical Research Associate (CRA),Master,no,1
Mechelen,Antwerp,Flanders,Belgium,English,2, Clinical Research Associate (CRA),Master,no,Ghent,East Flanders,Flanders,Belgium,English,Agrosavfe,6, Clinical Research Associate (CRA),Master,no,1
Achlum,Franekeradeel,Friesland,Netherlands,Dutch,36,Consultant,Master,yes,Charleroi,Hainaut,Walloon Region,Belgium,English,Bone Therapeutics,1,Consultant,Master,no,1
Achlum,Franekeradeel,Friesland,Netherlands,German,36,Consultant,Master,yes,Charleroi,Hainaut,Walloon Region,Belgium,English,Bone Therapeutics,1,Consultant,Master,no,1
Achlum,Franekeradeel,Friesland,Netherlands,English,36,Consultant,Master,yes,Charleroi,Hainaut,Walloon Region,Belgium,English,Bone Therapeutics,1,Consultant,Master,no,1
Achlum,Franekeradeel,Friesland,Netherlands,French,36,Consultant,Master,yes,Charleroi,Hainaut,Walloon Region,Belgium,English,Bone Therapeutics,1,Consultant,Master,no,1
Achlum,Franekeradeel,Friesland,Netherlands,French,36,Consultant,Master,yes,Charleroi,Hainaut,Walloon Region,Belgium,English,Bone Therapeutics,1,Consultant,Master,no,1
Achlum,Franekeradeel,Friesland,Netherlands,Dutch,36,Consultant,Master,yes,Charleroi,Hainaut,Walloon Region,Belgium,English,Bone Therapeutics,1,Consultant,Master,no,1
Achlum,Franekeradeel,Friesland,Netherlands,German,36,Consultant,Master,yes,Charleroi,Hainaut,Walloon Region,Belgium,English,Bone Therapeutics,1,Consultant,Master,no,1
Achlum,Franekeradeel,Friesland,Netherlands,English,36,Consultant,Master,yes,Charleroi,Hainaut,Walloon Region,Belgium,English,Bone Therapeutics,1,Consultant,Master,no,1
Achlum,Franekeradeel,Friesland,Netherlands,Dutch,36,Consultant,Master,yes,Ghent,East Flanders,Flanders,Belgium,English,Adagio,3, Clinical Research Associate (CRA),Master,no,1
Achlum,Franekeradeel,Friesland,Netherlands,German,36,Consultant,Master,yes,Ghent,East Flanders,Flanders,Belgium,English,Adagio,3, Clinical Research Associate (CRA),Master,no,1
Achlum,Franekeradeel,Friesland,Netherlands,English,36,Consultant,Master,yes,Ghent,East Flanders,Flanders,Belgium,English,Adagio,3, Clinical Research Associate (CRA),Master,no,1
Achlum,Franekeradeel,Friesland,Netherlands,French,36,Consultant,Master,yes,Ghent,East Flanders,Flanders,Belgium,English,Adagio,3, Clinical Research Associate (CRA),Master,no,1
Achlum,Franekeradeel,Friesland,Netherlands,French,36,Consultant,Master,yes,Ghent,East Flanders,Flanders,Belgium,English,Adagio,3, Clinical Research Associate (CRA),Master,no,1
Achlum,Franekeradeel,Friesland,Netherlands,Dutch,36,Consultant,Master,yes,Ghent,East Flanders,Flanders,Belgium,English,Adagio,3, Clinical Research Associate (CRA),Master,no,1
Achlum,Franekeradeel,Friesland,Netherlands,German,36,Consultant,Master,yes,Ghent,East Flanders,Flanders,Belgium,English,Adagio,3, Clinical Research Associate (CRA),Master,no,1
Achlum,Franekeradeel,Friesland,Netherlands,English,36,Consultant,Master,yes,Ghent,East Flanders,Flanders,Belgium,English,Adagio,3, Clinical Research Associate (CRA),Master,no,1
Achlum,Franekeradeel,Friesland,Netherlands,Dutch,36,Consultant,Master,yes,Hoegaarden,Flemish Brabant,Flanders,Belgium,English,Kasa Consultant,3,Consultant,bachelor,no,1
Achlum,Franekeradeel,Friesland,Netherlands,German,36,Consultant,Master,yes,Hoegaarden,Flemish Brabant,Flanders,Belgium,English,Kasa Consultant,3,Consultant,bachelor,no,1
Achlum,Franekeradeel,Friesland,Netherlands,English,36,Consultant,Master,yes,Hoegaarden,Flemish Brabant,Flanders,Belgium,English,Kasa Consultant,3,Consultant,bachelor,no,1
Achlum,Franekeradeel,Friesland,Netherlands,French,36,Consultant,Master,yes,Hoegaarden,Flemish Brabant,Flanders,Belgium,English,Kasa Consultant,3,Consultant,bachelor,no,1
Achlum,Franekeradeel,Friesland,Netherlands,French,36,Consultant,Master,yes,Hoegaarden,Flemish Brabant,Flanders,Belgium,English,Kasa Consultant,3,Consultant,bachelor,no,1
Achlum,Franekeradeel,Friesland,Netherlands,Dutch,36,Consultant,Master,yes,Hoegaarden,Flemish Brabant,Flanders,Belgium,English,Kasa Consultant,3,Consultant,bachelor,no,1
Achlum,Franekeradeel,Friesland,Netherlands,German,36,Consultant,Master,yes,Hoegaarden,Flemish Brabant,Flanders,Belgium,English,Kasa Consultant,3,Consultant,bachelor,no,1
Achlum,Franekeradeel,Friesland,Netherlands,English,36,Consultant,Master,yes,Hoegaarden,Flemish Brabant,Flanders,Belgium,English,Kasa Consultant,3,Consultant,bachelor,no,1
Antwerp,Antwerp,Flanders,Belgium,English,6,Intern,bachelor,no,Ghent,East Flanders,Flanders,Belgium,English,Agrosavfe,1,Intern,bachelor,no,1
Antwerp,Antwerp,Flanders,Belgium,Dutch,6,Intern,bachelor,no,Ghent,East Flanders,Flanders,Belgium,English,Agrosavfe,1,Intern,bachelor,no,1
Antwerp,Antwerp,Flanders,Belgium,French,6,Intern,bachelor,no,Ghent,East Flanders,Flanders,Belgium,English,Agrosavfe,1,Intern,bachelor,no,1
Antwerp,Antwerp,Flanders,Belgium,German,6,Intern,bachelor,no,Ghent,East Flanders,Flanders,Belgium,English,Agrosavfe,1,Intern,bachelor,no,1
Ghent,East Flanders,Flanders,Belgium,English,6,Intern,bachelor,no,Ghent,East Flanders,Flanders,Belgium,English,Agrosavfe,1,Intern,bachelor,no,1
Ghent,East Flanders,Flanders,Belgium,Dutch,6,Intern,bachelor,no,Ghent,East Flanders,Flanders,Belgium,English,Agrosavfe,1,Intern,bachelor,no,1
Ghent,East Flanders,Flanders,Belgium,French,6,Intern,bachelor,no,Ghent,East Flanders,Flanders,Belgium,English,Agrosavfe,1,Intern,bachelor,no,1
Ghent,East Flanders,Flanders,Belgium,German,6,Intern,bachelor,no,Ghent,East Flanders,Flanders,Belgium,English,Agrosavfe,1,Intern,bachelor,no,1
Ghent,East Flanders,Flanders,Belgium,English,6,Intern,bachelor,no,Ghent,East Flanders,Flanders,Belgium,English,Agrosavfe,1,Intern,bachelor,no,1
Ghent,East Flanders,Flanders,Belgium,Dutch,6,Intern,bachelor,no,Ghent,East Flanders,Flanders,Belgium,English,Agrosavfe,1,Intern,bachelor,no,1
Ghent,East Flanders,Flanders,Belgium,French,6,Intern,bachelor,no,Ghent,East Flanders,Flanders,Belgium,English,Agrosavfe,1,Intern,bachelor,no,1
Ghent,East Flanders,Flanders,Belgium,German,6,Intern,bachelor,no,Ghent,East Flanders,Flanders,Belgium,English,Agrosavfe,1,Intern,bachelor,no,1
Temse,East Flanders,Flanders,Belgium,Dutch,2, Clinical Research Associate (CRA),Master,no,Durham,Durham County,North Carolina,United States,English,Marken,5, Clinical Research Associate (CRA),bachelor,no,1
Temse,East Flanders,Flanders,Belgium,French,2, Clinical Research Associate (CRA),Master,no,Durham,Durham County,North Carolina,United States,English,Marken,5, Clinical Research Associate (CRA),bachelor,no,1
Temse,East Flanders,Flanders,Belgium,English,2, Clinical Research Associate (CRA),Master,no,Durham,Durham County,North Carolina,United States,English,Marken,5, Clinical Research Associate (CRA),bachelor,no,1
Mechelen,Antwerp,Flanders,Belgium,Dutch,2, Clinical Research Associate (CRA),Master,no,Durham,Durham County,North Carolina,United States,English,Marken,5, Clinical Research Associate (CRA),bachelor,no,1
Mechelen,Antwerp,Flanders,Belgium,French,2, Clinical Research Associate (CRA),Master,no,Durham,Durham County,North Carolina,United States,English,Marken,5, Clinical Research Associate (CRA),bachelor,no,1
Mechelen,Antwerp,Flanders,Belgium,English,2, Clinical Research Associate (CRA),Master,no,Durham,Durham County,North Carolina,United States,English,Marken,5, Clinical Research Associate (CRA),bachelor,no,1
Roosdaal,Flemish Brabant,Flanders,Belgium,Dutch,5, Clinical Research Associate (CRA),bachelor,yes,Liège,Liege,Walloon Region,Belgium,English,Immuno Diagnostic System,7, Clinical Research Associate (CRA),Master,no,1
Roosdaal,Flemish Brabant,Flanders,Belgium,English,5, Clinical Research Associate (CRA),bachelor,yes,Liège,Liege,Walloon Region,Belgium,English,Immuno Diagnostic System,7, Clinical Research Associate (CRA),Master,no,1
Roosdaal,Flemish Brabant,Flanders,Belgium,French,5, Clinical Research Associate (CRA),bachelor,yes,Liège,Liege,Walloon Region,Belgium,English,Immuno Diagnostic System,7, Clinical Research Associate (CRA),Master,no,1
Roosdaal,Flemish Brabant,Flanders,Belgium,German,5, Clinical Research Associate (CRA),bachelor,yes,Liège,Liege,Walloon Region,Belgium,English,Immuno Diagnostic System,7, Clinical Research Associate (CRA),Master,no,1
Ans,Liege,Walloon Region,Belgium,French,27,Assistant,post doctoral,no,Liège,Liege,Walloon Region,Belgium,English,Immuno Diagnostic System,2,Assistant,bachelor,no,1
Ans,Liege,Walloon Region,Belgium,English,27,Assistant,post doctoral,no,Liège,Liege,Walloon Region,Belgium,English,Immuno Diagnostic System,2,Assistant,bachelor,no,1
Ans,Liege,Walloon Region,Belgium,Dutch,27,Assistant,post doctoral,no,Liège,Liege,Walloon Region,Belgium,English,Immuno Diagnostic System,2,Assistant,bachelor,no,1
Ghent,East Flanders,Flanders,Belgium,English,14,R&D Scientist,bachelor,yes,Turnhout,Antwerp,Flanders,Belgium,English,2Bridge,1,R&D Scientist,bachelor,no,1
Ghent,East Flanders,Flanders,Belgium,French,14,R&D Scientist,bachelor,yes,Turnhout,Antwerp,Flanders,Belgium,English,2Bridge,1,R&D Scientist,bachelor,no,1
Ghent,East Flanders,Flanders,Belgium,Dutch,14,R&D Scientist,bachelor,yes,Turnhout,Antwerp,Flanders,Belgium,English,2Bridge,1,R&D Scientist,bachelor,no,1
Hever,Kent,England,United Kingdom,Dutch,17,Clinical Project Manager (CPM),post doctoral,yes,Liège,Liege,Walloon Region,Belgium,English,Immuno Diagnostic System,7, Clinical Research Associate (CRA),Master,no,1
Hever,Kent,England,United Kingdom,English,17,Clinical Project Manager (CPM),post doctoral,yes,Liège,Liege,Walloon Region,Belgium,English,Immuno Diagnostic System,7, Clinical Research Associate (CRA),Master,no,1
Hever,Kent,England,United Kingdom,French,17,Clinical Project Manager (CPM),post doctoral,yes,Liège,Liege,Walloon Region,Belgium,English,Immuno Diagnostic System,7, Clinical Research Associate (CRA),Master,no,1
Hever,Kent,England,United Kingdom,German,17,Clinical Project Manager (CPM),post doctoral,yes,Liège,Liege,Walloon Region,Belgium,English,Immuno Diagnostic System,7, Clinical Research Associate (CRA),Master,no,1
Antwerp,Antwerp,Flanders,Belgium,Dutch,5,PhD researcher,bachelor,yes,Liège,Liege,Walloon Region,Belgium,English,Immuno Diagnostic System,7, Clinical Research Associate (CRA),Master,no,1
Antwerp,Antwerp,Flanders,Belgium,English,5,PhD researcher,bachelor,yes,Liège,Liege,Walloon Region,Belgium,English,Immuno Diagnostic System,7, Clinical Research Associate (CRA),Master,no,1
Antwerp,Antwerp,Flanders,Belgium,French,5,PhD researcher,bachelor,yes,Liège,Liege,Walloon Region,Belgium,English,Immuno Diagnostic System,7, Clinical Research Associate (CRA),Master,no,1
Leiden,Leiden,South Holland,Netherlands,Portuguese,9,PhD student ,post doctoral,yes,Leiden,Leiden,South Holland,Netherlands,English,DCPrime BV,1,R&D Scientist,Master,no,1
Leiden,Leiden,South Holland,Netherlands,English,9,PhD student ,post doctoral,yes,Leiden,Leiden,South Holland,Netherlands,English,DCPrime BV,1,R&D Scientist,Master,no,1
Leiden,Leiden,South Holland,Netherlands,Dutch,9,PhD student ,post doctoral,yes,Leiden,Leiden,South Holland,Netherlands,English,DCPrime BV,1,R&D Scientist,Master,no,1
Leiden,Leiden,South Holland,Netherlands,French,9,PhD student ,post doctoral,yes,Leiden,Leiden,South Holland,Netherlands,English,DCPrime BV,1,R&D Scientist,Master,no,1
Leiden,Leiden,South Holland,Netherlands,Spanish,9,PhD student ,post doctoral,yes,Leiden,Leiden,South Holland,Netherlands,English,DCPrime BV,1,R&D Scientist,Master,no,1
Leiden,Leiden,South Holland,Netherlands,Portuguese,9,PhD student ,post doctoral,yes,Ochten,Neder-Betuwe,Gelderland,Netherlands,English,Sopachem,7,Product Specialist,Master,no,1
Leiden,Leiden,South Holland,Netherlands,English,9,PhD student ,post doctoral,yes,Ochten,Neder-Betuwe,Gelderland,Netherlands,English,Sopachem,7,Product Specialist,Master,no,1
Leiden,Leiden,South Holland,Netherlands,Dutch,9,PhD student ,post doctoral,yes,Ochten,Neder-Betuwe,Gelderland,Netherlands,English,Sopachem,7,Product Specialist,Master,no,1
Leiden,Leiden,South Holland,Netherlands,French,9,PhD student ,post doctoral,yes,Ochten,Neder-Betuwe,Gelderland,Netherlands,English,Sopachem,7,Product Specialist,Master,no,1
Leiden,Leiden,South Holland,Netherlands,Spanish,9,PhD student ,post doctoral,yes,Ochten,Neder-Betuwe,Gelderland,Netherlands,English,Sopachem,7,Product Specialist,Master,no,1
Boortmeerbeek,Flemish Brabant,Flanders,Belgium,Dutch,28,Freelance Project Manager,post doctoral,no,Berkeley,Alameda County,California,United States,English,Aduro Biotech,4,Freelance Project Manager,bachelor,no,1
Boortmeerbeek,Flemish Brabant,Flanders,Belgium,French,28,Freelance Project Manager,post doctoral,no,Berkeley,Alameda County,California,United States,English,Aduro Biotech,4,Freelance Project Manager,bachelor,no,1
Boortmeerbeek,Flemish Brabant,Flanders,Belgium,English,28,Freelance Project Manager,post doctoral,no,Berkeley,Alameda County,California,United States,English,Aduro Biotech,4,Freelance Project Manager,bachelor,no,1
Temse,East Flanders,Flanders,Belgium,Dutch,2, Clinical Research Associate (CRA),Master,no,Ghent,East Flanders,Flanders,Belgium,English,MyCartis,7, Clinical Research Associate (CRA),bachelor,no,1
Temse,East Flanders,Flanders,Belgium,French,2, Clinical Research Associate (CRA),Master,no,Ghent,East Flanders,Flanders,Belgium,English,MyCartis,7, Clinical Research Associate (CRA),bachelor,no,1
Temse,East Flanders,Flanders,Belgium,English,2, Clinical Research Associate (CRA),Master,no,Ghent,East Flanders,Flanders,Belgium,English,MyCartis,7, Clinical Research Associate (CRA),bachelor,no,1
Mechelen,Antwerp,Flanders,Belgium,Dutch,2, Clinical Research Associate (CRA),Master,no,Ghent,East Flanders,Flanders,Belgium,English,MyCartis,7, Clinical Research Associate (CRA),bachelor,no,1
Mechelen,Antwerp,Flanders,Belgium,French,2, Clinical Research Associate (CRA),Master,no,Ghent,East Flanders,Flanders,Belgium,English,MyCartis,7, Clinical Research Associate (CRA),bachelor,no,1
Mechelen,Antwerp,Flanders,Belgium,English,2, Clinical Research Associate (CRA),Master,no,Ghent,East Flanders,Flanders,Belgium,English,MyCartis,7, Clinical Research Associate (CRA),bachelor,no,1
Kruishoutem,East Flanders,Flanders,Belgium,Dutch,5,Master's thesis,doctoral,no,Ghent,East Flanders,Flanders,Belgium,English,argen-x,4,Master's thesis,doctoral,no,1
Kruishoutem,East Flanders,Flanders,Belgium,English,5,Master's thesis,doctoral,no,Ghent,East Flanders,Flanders,Belgium,English,argen-x,4,Master's thesis,doctoral,no,1
Kruishoutem,East Flanders,Flanders,Belgium,French,5,Master's thesis,doctoral,no,Ghent,East Flanders,Flanders,Belgium,English,argen-x,4,Master's thesis,doctoral,no,1
Zielona Gora,Zielona Gora,Lubusz Voivodeship,Poland,English,13,Wetenschappelijk medewerker,bachelor,yes,Charleroi,Hainaut,Walloon Region,Belgium,English,Cenaero,7,Wetenschappelijk medewerker,Master,yes,1
Zielona Gora,Zielona Gora,Lubusz Voivodeship,Poland,French,13,Wetenschappelijk medewerker,bachelor,yes,Charleroi,Hainaut,Walloon Region,Belgium,English,Cenaero,7,Wetenschappelijk medewerker,Master,yes,1
Zielona Gora,Zielona Gora,Lubusz Voivodeship,Poland,Polish,13,Wetenschappelijk medewerker,bachelor,yes,Charleroi,Hainaut,Walloon Region,Belgium,English,Cenaero,7,Wetenschappelijk medewerker,Master,yes,1
Cape Town,Cape Town,Western Cape,South Africa,English,17,Production Manager,post doctoral,no,Berkeley,Alameda County,California,United States,English,Aduro Biotech,6,Production Manager,bachelor,no,1
Cape Town,Cape Town,Western Cape,South Africa,Afrikaans,17,Production Manager,post doctoral,no,Berkeley,Alameda County,California,United States,English,Aduro Biotech,6,Production Manager,bachelor,no,1
Cape Town,Cape Town,Western Cape,South Africa,French,17,Production Manager,post doctoral,no,Berkeley,Alameda County,California,United States,English,Aduro Biotech,6,Production Manager,bachelor,no,1
Cape Town,Cape Town,Western Cape,South Africa,English,17,Production Manager,post doctoral,no,Ottignies-Louvain-la-Neuve,Walloon Brabant,Walloon Region,Belgium,English,Diasource,4,Production Manager,bachelor,no,1
Cape Town,Cape Town,Western Cape,South Africa,Afrikaans,17,Production Manager,post doctoral,no,Ottignies-Louvain-la-Neuve,Walloon Brabant,Walloon Region,Belgium,English,Diasource,4,Production Manager,bachelor,no,1
Cape Town,Cape Town,Western Cape,South Africa,French,17,Production Manager,post doctoral,no,Ottignies-Louvain-la-Neuve,Walloon Brabant,Walloon Region,Belgium,English,Diasource,4,Production Manager,bachelor,no,1
Bengaluru,Bangalore Urban,Karnataka,India,English,15,Pharmacy Manager,Master,both,Braine-l'Alleud,Walloon Brabant,Walloon Region,Belgium,English,UCB,6,Pharmacy Manager,bachelor,both,1
Bengaluru,Bangalore Urban,Karnataka,India,Hindi,15,Pharmacy Manager,Master,both,Braine-l'Alleud,Walloon Brabant,Walloon Region,Belgium,English,UCB,6,Pharmacy Manager,bachelor,both,1
Bengaluru,Bangalore Urban,Karnataka,India,German,15,Pharmacy Manager,Master,both,Braine-l'Alleud,Walloon Brabant,Walloon Region,Belgium,English,UCB,6,Pharmacy Manager,bachelor,both,1
Antwerp,Antwerp,Flanders,Belgium,English,24,Director,post doctoral,yes,Boston,Suffolk County,Massachusetts,United States,English,datacamp,6,Director,bachelor,yes,1
Antwerp,Antwerp,Flanders,Belgium,Dutch,24,Director,post doctoral,yes,Boston,Suffolk County,Massachusetts,United States,English,datacamp,6,Director,bachelor,yes,1
Antwerp,Antwerp,Flanders,Belgium,French,24,Director,post doctoral,yes,Boston,Suffolk County,Massachusetts,United States,English,datacamp,6,Director,bachelor,yes,1
Antwerp,Antwerp,Flanders,Belgium,German,24,Director,post doctoral,yes,Boston,Suffolk County,Massachusetts,United States,English,datacamp,6,Director,bachelor,yes,1
Ghent,East Flanders,Flanders,Belgium,English,24,Director,post doctoral,yes,Boston,Suffolk County,Massachusetts,United States,English,datacamp,6,Director,bachelor,yes,1
Ghent,East Flanders,Flanders,Belgium,Dutch,24,Director,post doctoral,yes,Boston,Suffolk County,Massachusetts,United States,English,datacamp,6,Director,bachelor,yes,1
Ghent,East Flanders,Flanders,Belgium,French,24,Director,post doctoral,yes,Boston,Suffolk County,Massachusetts,United States,English,datacamp,6,Director,bachelor,yes,1
Ghent,East Flanders,Flanders,Belgium,German,24,Director,post doctoral,yes,Boston,Suffolk County,Massachusetts,United States,English,datacamp,6,Director,bachelor,yes,1
Leuven,Flemish Brabant,Flanders,Belgium,Spanish,7,Laboratory Technician,Master,no,Ghent,East Flanders,Flanders,Belgium,English,Agrosavfe,1,Intern,bachelor,no,1
Leuven,Flemish Brabant,Flanders,Belgium,English,7,Laboratory Technician,Master,no,Ghent,East Flanders,Flanders,Belgium,English,Agrosavfe,1,Intern,bachelor,no,1
Schilde,Antwerp,Flanders,Belgium,Dutch,20,Clinical Project Manager (CPM),doctoral,yes,Antwerp,Antwerp,Flanders,Belgium,English,SGS,4,Senior Research Scientist,Master,yes,1
Schilde,Antwerp,Flanders,Belgium,English,20,Clinical Project Manager (CPM),doctoral,yes,Antwerp,Antwerp,Flanders,Belgium,English,SGS,4,Senior Research Scientist,Master,yes,1
Schilde,Antwerp,Flanders,Belgium,French,20,Clinical Project Manager (CPM),doctoral,yes,Antwerp,Antwerp,Flanders,Belgium,English,SGS,4,Senior Research Scientist,Master,yes,1
Antwerp,Antwerp,Flanders,Belgium,Dutch,20,Clinical Project Manager (CPM),doctoral,yes,Antwerp,Antwerp,Flanders,Belgium,English,SGS,4,Senior Research Scientist,Master,yes,1
Antwerp,Antwerp,Flanders,Belgium,English,20,Clinical Project Manager (CPM),doctoral,yes,Antwerp,Antwerp,Flanders,Belgium,English,SGS,4,Senior Research Scientist,Master,yes,1
Antwerp,Antwerp,Flanders,Belgium,French,20,Clinical Project Manager (CPM),doctoral,yes,Antwerp,Antwerp,Flanders,Belgium,English,SGS,4,Senior Research Scientist,Master,yes,1
Schilde,Antwerp,Flanders,Belgium,Dutch,20,Clinical Project Manager (CPM),doctoral,yes,Antwerp,Antwerp,Flanders,Belgium,English,phara_consulting,1,researcher,doctoral,no,1
Schilde,Antwerp,Flanders,Belgium,English,20,Clinical Project Manager (CPM),doctoral,yes,Antwerp,Antwerp,Flanders,Belgium,English,phara_consulting,1,researcher,doctoral,no,1
Schilde,Antwerp,Flanders,Belgium,French,20,Clinical Project Manager (CPM),doctoral,yes,Antwerp,Antwerp,Flanders,Belgium,English,phara_consulting,1,researcher,doctoral,no,1
Antwerp,Antwerp,Flanders,Belgium,Dutch,20,Clinical Project Manager (CPM),doctoral,yes,Antwerp,Antwerp,Flanders,Belgium,English,phara_consulting,1,researcher,doctoral,no,1
Antwerp,Antwerp,Flanders,Belgium,English,20,Clinical Project Manager (CPM),doctoral,yes,Antwerp,Antwerp,Flanders,Belgium,English,phara_consulting,1,researcher,doctoral,no,1
Antwerp,Antwerp,Flanders,Belgium,French,20,Clinical Project Manager (CPM),doctoral,yes,Antwerp,Antwerp,Flanders,Belgium,English,phara_consulting,1,researcher,doctoral,no,1
Schilde,Antwerp,Flanders,Belgium,Dutch,9,Founder of TWIN4sight,bachelor,yes,London,Greater London,England,United Kingdom,English,Kite Pharma,4,Founder of TWIN4sight,bachelor,yes,1
Schilde,Antwerp,Flanders,Belgium,English,9,Founder of TWIN4sight,bachelor,yes,London,Greater London,England,United Kingdom,English,Kite Pharma,4,Founder of TWIN4sight,bachelor,yes,1
Schilde,Antwerp,Flanders,Belgium,German,9,Founder of TWIN4sight,bachelor,yes,London,Greater London,England,United Kingdom,English,Kite Pharma,4,Founder of TWIN4sight,bachelor,yes,1
Schilde,Antwerp,Flanders,Belgium,French,9,Founder of TWIN4sight,bachelor,yes,London,Greater London,England,United Kingdom,English,Kite Pharma,4,Founder of TWIN4sight,bachelor,yes,1
Antwerp,Antwerp,Flanders,Belgium,Dutch,5,PhD researcher,bachelor,yes,Leuven,Flemish Brabant,Flanders,Belgium,Dutch,UZLeuven,1,PhD researcher,master ,no,1
